Number of Positve Word,Number of Negative Word,Frequency of Positive Words,Frequency of Negative Words,Sentiment Value,Number of Stop Words,Number of Capitalization,Average Word Length,Max Word Length,Is maximum word positive?,Sum Consonant Character Position,Sum Vowel Character Position,Total Number of Words,SENTIMENT CLASS
0,2,0,33.33333333,-20,1,1,4,12,0,89,40,6,0
1,0,6.666666667,0,10,6,1,4,10,0,174,81,15,0
0,2,0,16.66666667,-20,3,3,4,10,0,150,76,12,0
0,2,0,22.22222222,-20,4,1,2,4,0,44,18,9,0
0,1,0,16.66666667,-10,2,1,3,7,0,46,23,6,0
0,0,0,0,0,4,1,3,5,0,55,47,10,0
1,0,9.090909091,0,10,4,2,3,10,0,86,51,11,1
2,0,40,0,20,1,1,3,7,0,47,23,5,1
0,1,0,16.66666667,-10,0,2,3,6,0,43,24,6,0
0,3,0,11.53846154,-30,8,2,3,8,0,152,100,26,0
0,2,0,22.22222222,-20,2,1,3,10,0,72,51,9,0
0,7,0,29.16666667,-70,8,3,4,9,0,254,106,24,0
1,2,6.25,12.5,-10,4,1,4,15,0,241,130,16,0
1,1,4.761904762,4.761904762,0,7,2,4,10,0,183,113,21,0
0,1,0,11.11111111,-10,2,1,4,9,0,93,83,9,0
0,0,0,0,0,2,1,2,5,0,37,14,7,0
0,3,0,14.28571429,-30,7,2,4,12,0,196,121,21,0
0,0,0,0,0,3,1,2,5,0,42,17,7,0
0,1,0,8.333333333,-10,4,3,3,8,0,81,46,12,0
3,1,11.11111111,3.703703704,20,7,7,5,12,0,341,210,27,0
0,1,0,11.11111111,-10,2,2,2,7,0,47,38,9,0
0,3,0,13.04347826,-30,7,2,4,10,0,211,110,23,0
3,3,15.78947368,15.78947368,0,3,3,3,7,0,139,65,19,0
1,3,5.882352941,17.64705882,-20,5,6,4,11,0,196,95,17,0
1,2,7.142857143,14.28571429,-10,2,1,4,8,0,115,87,14,0
1,0,5.882352941,0,10,3,3,3,10,0,139,75,17,0
2,0,11.76470588,0,20,5,1,4,12,0,182,100,17,1
1,0,10,0,10,1,3,4,16,0,155,77,10,1
1,1,3.225806452,3.225806452,0,8,4,4,9,0,291,200,31,1
0,1,0,11.11111111,-10,3,1,3,9,0,69,49,9,0
0,1,0,10,-10,5,1,3,8,0,67,50,10,0
0,2,0,15.38461538,-20,3,1,4,11,0,180,79,13,0
2,0,13.33333333,0,20,6,1,3,7,0,107,58,15,1
1,1,8.333333333,8.333333333,0,3,2,3,9,0,97,42,12,0
0,0,0,0,0,5,2,3,15,0,124,73,11,0
0,3,0,17.64705882,-30,4,1,4,16,0,238,135,17,0
0,1,0,33.33333333,-10,0,1,1,5,0,11,7,3,0
0,2,0,11.11111111,-20,8,5,3,7,0,108,73,18,0
0,1,0,4.761904762,-10,7,1,3,10,0,152,97,21,0
1,2,9.090909091,18.18181818,-10,5,1,3,6,0,85,43,11,0
0,0,0,0,0,3,1,3,12,0,62,35,5,0
1,2,5,10,-10,3,1,3,8,0,178,83,20,0
0,0,0,0,0,9,20,3,7,0,114,81,21,0
1,0,6.666666667,0,10,6,4,3,10,0,105,52,15,1
1,0,6.666666667,0,10,3,1,3,9,0,134,70,15,1
1,0,25,0,10,0,1,3,9,0,53,17,4,1
1,0,3.571428571,0,10,9,3,3,9,0,206,109,28,1
1,1,10,10,0,3,2,3,7,0,62,47,10,0
1,1,7.692307692,7.692307692,0,2,1,4,15,0,185,115,13,0
0,0,0,0,0,1,1,4,11,0,82,46,7,0
1,0,5.263157895,0,10,6,1,4,13,0,215,137,19,1
1,0,10,0,10,5,1,4,11,0,94,68,10,0
0,3,0,37.5,-30,0,1,3,10,0,84,31,8,0
0,1,0,33.33333333,-10,0,1,2,6,0,26,10,3,0
1,0,20,0,10,2,1,2,5,0,25,9,5,0
2,2,18.18181818,18.18181818,0,0,3,3,8,0,90,50,11,1
1,0,6.25,0,10,6,1,3,11,0,110,67,16,1
2,1,7.692307692,3.846153846,10,5,3,4,13,0,323,193,26,1
1,0,4,0,10,8,4,3,10,0,187,130,25,1
0,0,0,0,0,2,1,2,5,0,25,21,6,1
3,0,7.692307692,0,30,12,4,4,11,0,454,259,39,1
1,0,4.761904762,0,10,6,7,4,9,0,238,139,21,1
1,1,3.846153846,3.846153846,0,6,10,4,11,0,281,163,26,1
2,0,9.090909091,0,20,6,2,4,10,0,222,139,22,1
3,1,21.42857143,7.142857143,20,3,1,5,11,0,203,114,14,1
1,0,5.263157895,0,10,6,2,3,10,0,152,97,19,1
3,0,21.42857143,0,30,7,1,3,8,0,78,49,14,1
1,0,10,0,10,4,1,4,17,0,145,91,10,1
1,0,8.333333333,0,10,4,1,4,10,0,147,81,12,1
1,1,9.090909091,9.090909091,0,2,1,3,8,0,84,35,11,1
2,0,15.38461538,0,20,4,2,4,8,0,99,78,13,1
0,0,0,0,0,3,1,3,9,0,99,47,15,1
0,0,0,0,0,0,1,1,4,0,11,5,4,1
1,0,3.03030303,0,10,14,4,4,10,0,302,155,33,1
0,0,0,0,0,10,2,3,8,0,216,120,26,1
1,0,33.33333333,0,10,0,1,4,10,0,40,36,3,1
4,0,14.28571429,0,40,9,4,4,11,0,304,198,28,1
1,0,11.11111111,0,10,2,1,2,5,0,47,28,9,1
1,0,33.33333333,0,10,0,1,3,9,0,41,25,3,1
0,1,0,3.846153846,-10,8,3,4,10,0,252,127,26,1
5,0,29.41176471,0,50,3,1,3,10,0,160,88,17,1
1,0,5.882352941,0,10,5,1,4,10,0,176,86,17,1
1,0,5.263157895,0,10,9,4,4,10,0,158,108,19,0
1,3,3.03030303,9.090909091,-20,15,2,4,10,0,285,162,33,0
0,1,0,11.11111111,-10,2,1,3,6,0,53,39,9,0
1,0,8.333333333,0,10,4,1,3,6,0,66,33,12,1
0,0,0,0,0,6,1,4,10,0,223,101,19,1
1,0,25,0,10,0,1,2,7,0,19,13,4,1
1,0,14.28571429,0,10,2,1,3,11,0,71,40,7,1
1,0,8.333333333,0,10,4,3,4,12,0,164,66,12,1
2,0,13.33333333,0,20,3,1,6,11,0,290,158,15,1
1,1,9.090909091,9.090909091,0,4,1,4,9,0,129,83,11,1
0,0,0,0,0,2,1,3,8,0,61,56,9,1
1,0,5.882352941,0,10,3,3,5,13,0,301,183,17,1
1,0,9.090909091,0,10,4,1,4,10,0,143,77,11,1
0,0,0,0,0,3,1,5,12,0,218,93,12,1
1,1,4.761904762,4.761904762,0,11,1,4,10,0,278,135,21,1
3,0,9.677419355,0,30,5,12,4,11,0,290,198,31,1
6,0,14.63414634,0,60,12,7,5,14,0,586,324,41,1
2,0,15.38461538,0,20,5,1,3,10,0,102,76,13,1
2,1,12.5,6.25,10,3,1,5,13,0,253,124,16,1
1,0,4.347826087,0,10,9,1,3,8,0,140,83,23,0
0,1,0,4.166666667,-10,10,4,3,10,0,201,113,24,0
0,6,0,18.75,-60,16,1,3,9,0,244,153,32,0
3,1,11.53846154,3.846153846,20,11,1,3,7,0,187,83,26,1
3,0,18.75,0,30,3,1,4,9,0,154,75,16,1
0,4,0,30.76923077,-40,2,1,3,11,0,123,70,13,0
1,0,3.703703704,0,10,7,6,3,7,0,188,92,27,1
1,0,9.090909091,0,10,2,4,2,5,0,46,30,11,1
2,0,10,0,20,8,3,3,9,0,145,76,20,1
0,0,0,0,0,2,1,2,8,0,52,24,8,1
1,1,12.5,12.5,0,1,1,2,5,0,34,24,8,1
1,0,8.333333333,0,10,5,2,3,10,0,96,68,12,1
1,0,11.11111111,0,10,4,1,2,6,0,42,34,9,1
2,0,22.22222222,0,20,1,1,4,12,0,140,74,9,1
2,0,40,0,20,1,1,3,10,0,71,39,5,1
2,0,14.28571429,0,20,3,2,4,13,0,189,93,14,1
0,0,0,0,0,9,6,4,12,0,297,160,30,1
1,1,7.142857143,7.142857143,0,3,1,4,12,0,152,74,14,1
3,0,13.04347826,0,30,8,1,3,8,0,159,95,23,1
2,0,22.22222222,0,20,2,1,2,6,0,43,28,9,1
1,0,14.28571429,0,10,0,1,3,7,0,51,35,7,1
2,0,28.57142857,0,20,1,1,3,9,0,59,36,7,1
1,0,11.11111111,0,10,2,1,2,6,0,46,37,9,0
0,1,0,8.333333333,-10,1,3,3,8,0,103,58,12,0
2,3,13.33333333,20,-10,5,1,4,13,0,209,115,15,0
0,1,0,14.28571429,-10,1,1,2,12,0,70,28,7,0
1,1,33.33333333,33.33333333,0,0,1,4,13,0,65,32,3,0
1,2,6.25,12.5,-10,5,1,3,12,0,120,71,16,0
